Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.250: [GC (Allocation Failure) 0.250: [DefNew: 960K->64K(960K), 0.0009257 secs] 18264K->17771K(524224K), 0.0009939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.252: [GC (Allocation Failure) 0.252: [DefNew: 960K->63K(960K), 0.0009004 secs] 18668K->18175K(524224K), 0.0009541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.255: [GC (Allocation Failure) 0.255: [DefNew: 959K->63K(960K), 0.0010050 secs] 19072K->18571K(524224K), 0.0010855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.257: [GC (Allocation Failure) 0.257: [DefNew: 959K->63K(960K), 0.0012245 secs] 19467K->18953K(524224K), 0.0013086 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.260: [GC (Allocation Failure) 0.260: [DefNew: 959K->64K(960K), 0.0014120 secs] 19849K->19513K(524224K), 0.0015111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.264: [GC (Allocation Failure) 0.264: [DefNew: 960K->64K(960K), 0.0011542 secs] 20411K->19941K(524224K), 0.0012237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.266: [GC (Allocation Failure) 0.266: [DefNew: 960K->64K(960K), 0.0012584 secs] 20837K->20321K(524224K), 0.0013314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.269: [GC (Allocation Failure) 0.269: [DefNew: 960K->64K(960K), 0.0014728 secs] 21219K->20772K(524224K), 0.0015928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.272: [GC (Allocation Failure) 0.272: [DefNew: 960K->64K(960K), 0.0020862 secs] 21668K->21388K(524224K), 0.0021908 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.276: [GC (Allocation Failure) 0.276: [DefNew: 960K->63K(960K), 0.0014432 secs] 22284K->22065K(524224K), 0.0015387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.278: [GC (Allocation Failure) 0.278: [DefNew: 959K->64K(960K), 0.0012008 secs] 22961K->22580K(524224K), 0.0012746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.281: [GC (Allocation Failure) 0.281: [DefNew: 960K->64K(960K), 0.0011984 secs] 23476K->23110K(524224K), 0.0012647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.284: [GC (Allocation Failure) 0.284: [DefNew: 960K->64K(960K), 0.0012075 secs] 24007K->23616K(524224K), 0.0012675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.286: [GC (Allocation Failure) 0.286: [DefNew: 960K->63K(960K), 0.0011404 secs] 24513K->24013K(524224K), 0.0012032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.290: [GC (Allocation Failure) 0.290: [DefNew: 959K->64K(960K), 0.0016236 secs] 24909K->24646K(524224K), 0.0017262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
